SurveyCode,SeasonalCode,AreaCode,StateCode,CountyCode,Year,Period,LaborForce,Employment,Unemployment,UnemploymentRate
LA,U,CN5100900000000,51,9,1990,M05,"14,621","13,774",847,5.8
LA,U,CN5100900000000,51,9,1990,M06,"14,588","13,772",816,5.6
LA,U,CN5100900000000,51,9,1990,M07,"14,544","13,815",729,5
LA,U,CN5100900000000,51,9,1990,M08,"14,544","13,770",774,5.3
LA,U,CN5100900000000,51,9,1990,M09,"14,393","13,581",812,5.6
LA,U,CN5100900000000,51,9,1990,M10,"14,305","13,646",659,4.6
LA,U,CN5100900000000,51,9,1990,M11,"14,137","13,536",601,4.3
LA,U,CN5100900000000,51,9,1990,M12,"14,245","13,514",731,5.1
LA,U,CN5100900000000,51,9,1990,M13,"14,335","13,606",729,5.1
LA,U,CN5101100000000,51,11,1990,M01,"6,070","5,744",326,5.4
LA,U,CN5101100000000,51,11,1990,M02,"6,035","5,713",322,5.3
LA,U,CN5101100000000,51,11,1990,M03,"6,146","5,847",299,4.9
LA,U,CN5101100000000,51,11,1990,M04,"6,169","5,927",242,3.9
LA,U,CN5101100000000,51,11,1990,M05,"6,411","6,021",390,6.1
LA,U,CN5101100000000,51,11,1990,M06,"6,519","6,187",332,5.1
LA,U,CN5101100000000,51,11,1990,M07,"6,179","5,867",312,5
LA,U,CN5101100000000,51,11,1990,M08,"6,088","5,804",284,4.7
LA,U,CN5101100000000,51,11,1990,M09,"6,230","5,942",288,4.6
LA,U,CN5101100000000,51,11,1990,M10,"6,229","5,998",231,3.7
LA,U,CN5101100000000,51,11,1990,M11,"6,367","5,969",398,6.3
LA,U,CN5101100000000,51,11,1990,M12,"6,313","5,840",473,7.5
LA,U,CN5101100000000,51,11,1990,M13,"6,230","5,905",325,5.2
LA,U,CN5101300000000,51,13,1990,M01,"105,891","104,184","1,707",1.6
LA,U,CN5101300000000,51,13,1990,M02,"106,283","104,579","1,704",1.6
LA,U,CN5101300000000,51,13,1990,M03,"107,236","105,612","1,624",1.5
LA,U,CN5101300000000,51,13,1990,M04,"106,892","105,216","1,676",1.6
LA,U,CN5101300000000,51,13,1990,M05,"108,684","106,832","1,852",1.7
LA,U,CN5101300000000,51,13,1990,M06,"110,261","108,145","2,116",1.9
LA,U,CN5101300000000,51,13,1990,M07,"111,476","109,334","2,142",1.9
LA,U,CN5101300000000,51,13,1990,M08,"110,427","107,786","2,641",2.4
LA,U,CN5101300000000,51,13,1990,M09,"107,992","105,269","2,723",2.5
LA,U,CN5101300000000,51,13,1990,M10,"108,016","105,682","2,334",2.2
LA,U,CN5101300000000,51,13,1990,M11,"107,878","105,315","2,563",2.4
LA,U,CN5101300000000,51,13,1990,M12,"108,199","105,754","2,445",2.3
LA,U,CN5101300000000,51,13,1990,M13,"108,269","106,142","2,127",2
LA,U,CN5101500000000,51,15,1990,M01,"28,379","27,386",993,3.5
LA,U,CN5101500000000,51,15,1990,M02,"29,590","27,535","2,055",6.9
LA,U,CN5101500000000,51,15,1990,M03,"28,685","27,823",862,3
LA,U,CN5101500000000,51,15,1990,M04,"28,681","27,882",799,2.8
LA,U,CN5101500000000,51,15,1990,M05,"29,280","28,405",875,3
LA,U,CN5101500000000,51,15,1990,M06,"29,801","28,863",938,3.1
LA,U,CN5101500000000,51,15,1990,M07,"29,291","28,477",814,2.8
LA,U,CN5101500000000,51,15,1990,M08,"28,879","27,753","1,126",3.9
LA,U,CN5101500000000,51,15,1990,M09,"28,737","27,598","1,139",4
LA,U,CN5101500000000,51,15,1990,M10,"30,015","27,848","2,167",7.2
LA,U,CN5101500000000,51,15,1990,M11,"28,661","27,535","1,126",3.9
LA,U,CN5101500000000,51,15,1990,M12,"28,535","27,458","1,077",3.8
LA,U,CN5101500000000,51,15,1990,M13,"29,044","27,880","1,164",4
LA,U,CN5101700000000,51,17,1990,M01,"2,590","2,152",438,16.9
LA,U,CN5101700000000,51,17,1990,M02,"2,543","2,180",363,14.3
LA,U,CN5101700000000,51,17,1990,M03,"2,601","2,114",487,18.7
LA,U,CN5101700000000,51,17,1990,M04,"2,584","2,271",313,12.1
LA,U,CN5101700000000,51,17,1990,M05,"2,585","2,340",245,9.5
LA,U,CN5101700000000,51,17,1990,M06,"2,678","2,466",212,7.9
LA,U,CN5101700000000,51,17,1990,M07,"2,707","2,525",182,6.7
LA,U,CN5101700000000,51,17,1990,M08,"2,707","2,531",176,6.5
LA,U,CN5101700000000,51,17,1990,M09,"2,562","2,400",162,6.3
LA,U,CN5101700000000,51,17,1990,M10,"2,547","2,416",131,5.1
LA,U,CN5101700000000,51,17,1990,M11,"2,559","2,234",325,12.7
LA,U,CN5101700000000,51,17,1990,M12,"2,769","2,025",744,26.9
LA,U,CN5101700000000,51,17,1990,M13,"2,620","2,305",315,12
LA,U,CN5101900000000,51,19,1990,M01,"27,216","25,994","1,222",4.5
LA,U,CN5101900000000,51,19,1990,M02,"27,019","25,982","1,037",3.8
LA,U,CN5101900000000,51,19,1990,M03,"27,250","26,278",972,3.6
LA,U,CN5101900000000,51,19,1990,M04,"27,308","26,452",856,3.1
LA,U,CN5101900000000,51,19,1990,M05,"27,748","26,775",973,3.5
LA,U,CN5101900000000,51,19,1990,M06,"27,816","26,772","1,044",3.8
LA,U,CN5101900000000,51,19,1990,M07,"27,922","26,855","1,067",3.8
LA,U,CN5101900000000,51,19,1990,M08,"27,882","26,768","1,114",4
LA,U,CN5101900000000,51,19,1990,M09,"27,743","26,401","1,342",4.8
LA,U,CN5101900000000,51,19,1990,M10,"27,983","26,530","1,453",5.2
LA,U,CN5101900000000,51,19,1990,M11,"28,022","26,314","1,708",6.1
LA,U,CN5101900000000,51,19,1990,M12,"27,755","26,270","1,485",5.4
LA,U,CN5101900000000,51,19,1990,M13,"27,638","26,449","1,189",4.3
LA,U,CN5102100000000,51,21,1990,M01,"3,176","2,966",210,6.6
LA,U,CN5102100000000,51,21,1990,M02,"3,123","2,953",170,5.4
LA,U,CN5102100000000,51,21,1990,M03,"3,154","2,991",163,5.2
LA,U,CN5102100000000,51,21,1990,M04,"3,129","2,995",134,4.3
LA,U,CN5102100000000,51,21,1990,M05,"3,282","3,119",163,5
LA,U,CN5102100000000,51,21,1990,M06,"3,162","3,027",135,4.3
LA,U,CN5102100000000,51,21,1990,M07,"3,341","3,090",251,7.5
LA,U,CN5102100000000,51,21,1990,M08,"3,248","3,053",195,6
LA,U,CN5102100000000,51,21,1990,M09,"3,148","3,031",117,3.7
LA,U,CN5102100000000,51,21,1990,M10,"3,350","3,075",275,8.2
LA,U,CN5102100000000,51,21,1990,M11,"3,322","3,052",270,8.1
LA,U,CN5102100000000,51,21,1990,M12,"3,246","3,056",190,5.9
LA,U,CN5102100000000,51,21,1990,M13,"3,223","3,034",189,5.9
LA,U,CN5102300000000,51,23,1990,M01,"13,399","12,915",484,3.6
LA,U,CN5102300000000,51,23,1990,M02,"13,371","12,939",432,3.2
LA,U,CN5102300000000,51,23,1990,M03,"13,453","13,079",374,2.8
LA,U,CN5102300000000,51,23,1990,M04,"13,456","13,095",361,2.7
LA,U,CN5102300000000,51,23,1990,M05,"13,663","13,246",417,3.1
LA,U,CN5102300000000,51,23,1990,M06,"13,821","13,375",446,3.2
LA,U,CN5102300000000,51,23,1990,M07,"13,987","13,520",467,3.3
LA,U,CN5102300000000,51,23,1990,M08,"14,096","13,436",660,4.7
LA,U,CN5102300000000,51,23,1990,M09,"13,745","13,181",564,4.1
LA,U,CN5102300000000,51,23,1990,M10,"13,774","13,255",519,3.8
LA,U,CN5102300000000,51,23,1990,M11,"13,753","13,242",511,3.7
LA,U,CN5102300000000,51,23,1990,M12,"13,807","13,244",563,4.1
LA,U,CN5102300000000,51,23,1990,M13,"13,694","13,211",483,3.5
LA,U,CN5102500000000,51,25,1990,M01,"6,861","6,276",585,8.5
LA,U,CN5102500000000,51,25,1990,M02,"6,924","6,327",597,8.6
LA,U,CN5102500000000,51,25,1990,M03,"6,883","6,458",425,6.2
LA,U,CN5102500000000,51,25,1990,M04,"6,968","6,486",482,6.9
LA,U,CN5102500000000,51,25,1990,M05,"7,250","6,808",442,6.1
LA,U,CN5102500000000,51,25,1990,M06,"7,294","6,798",496,6.8
LA,U,CN5102500000000,51,25,1990,M07,"7,234","6,740",494,6.8
LA,U,CN5102500000000,51,25,1990,M08,"7,293","6,627",666,9.1
LA,U,CN5102500000000,51,25,1990,M09,"7,551","6,339","1,212",16.1
LA,U,CN5102500000000,51,25,1990,M10,"6,966","6,094",872,12.5
LA,U,CN5102500000000,51,25,1990,M11,"7,024","6,124",900,12.8
LA,U,CN5102500000000,51,25,1990,M12,"6,960","6,066",894,12.8
LA,U,CN5102500000000,51,25,1990,M13,"7,101","6,429",672,9.5
LA,U,CN5102700000000,51,27,1990,M01,"10,882","9,839","1,043",9.6
LA,U,CN5102700000000,51,27,1990,M02,"11,035","9,927","1,108",10
LA,U,CN5102700000000,51,27,1990,M03,"11,208","10,059","1,149",10.3
LA,U,CN5102700000000,51,27,1990,M04,"11,136","10,011","1,125",10.1
LA,U,CN5102700000000,51,27,1990,M05,"11,362","10,159","1,203",10.6
LA,U,CN5102700000000,51,27,1990,M06,"11,752","10,298","1,454",12.4
LA,U,CN5102700000000,51,27,1990,M07,"11,433","10,334","1,099",9.6
LA,U,CN5102700000000,51,27,1990,M08,"11,654","10,243","1,411",12.1
LA,U,CN5102700000000,51,27,1990,M09,"11,452","9,902","1,550",13.5
LA,U,CN5102700000000,51,27,1990,M10,"11,404","10,068","1,336",11.7
LA,U,CN5102700000000,51,27,1990,M11,"11,402","9,993","1,409",12.4
LA,U,CN5102700000000,51,27,1990,M12,"11,422","10,125","1,297",11.4
LA,U,CN5102700000000,51,27,1990,M13,"11,345","10,080","1,265",11.2
LA,U,CN5102900000000,51,29,1990,M01,"5,474","5,092",382,7
LA,U,CN5102900000000,51,29,1990,M02,"5,503","5,137",366,6.7
LA,U,CN5102900000000,51,29,1990,M03,"5,626","5,264",362,6.4
LA,U,CN5102900000000,51,29,1990,M04,"5,558","5,224",334,6
LA,U,CN5102900000000,51,29,1990,M05,"5,603","5,346",257,4.6
LA,U,CN5102900000000,51,29,1990,M06,"5,662","5,436",226,4
LA,U,CN5102900000000,51,29,1990,M07,"5,237","5,015",222,4.2
LA,U,CN5102900000000,51,29,1990,M08,"5,302","5,045",257,4.8
LA,U,CN5102900000000,51,29,1990,M09,"5,529","5,315",214,3.9
LA,U,CN5102900000000,51,29,1990,M10,"5,528","5,284",244,4.4
LA,U,CN5102900000000,51,29,1990,M11,"5,592","5,283",309,5.5
LA,U,CN5102900000000,51,29,1990,M12,"5,663","5,265",398,7
LA,U,CN5102900000000,51,29,1990,M13,"5,524","5,226",298,5.4
LA,U,CN5103100000000,51,31,1990,M01,"25,357","24,089","1,268",5
LA,U,CN5103100000000,51,31,1990,M02,"25,417","24,077","1,340",5.3
LA,U,CN5103100000000,51,31,1990,M03,"25,585","24,351","1,234",4.8
LA,U,CN5103100000000,51,31,1990,M04,"25,598","24,514","1,084",4.2
LA,U,CN5103100000000,51,31,1990,M05,"26,147","24,812","1,335",5.1
LA,U,CN5103100000000,51,31,1990,M06,"26,157","24,810","1,347",5.1
LA,U,CN5103100000000,51,31,1990,M07,"26,074","24,885","1,189",4.6
LA,U,CN5103100000000,51,31,1990,M08,"26,110","24,806","1,304",5
LA,U,CN5103100000000,51,31,1990,M09,"26,051","24,466","1,585",6.1
LA,U,CN5103100000000,51,31,1990,M10,"25,852","24,584","1,268",4.9
LA,U,CN5103100000000,51,31,1990,M11,"26,164","24,384","1,780",6.8
LA,U,CN5103100000000,51,31,1990,M12,"25,911","24,345","1,566",6
LA,U,CN5103100000000,51,31,1990,M13,"25,868","24,510","1,358",5.2
LA,U,CN5103300000000,51,33,1990,M01,"9,896","9,102",794,8
LA,U,CN5103300000000,51,33,1990,M02,"9,874","9,072",802,8.1
LA,U,CN5103300000000,51,33,1990,M03,"9,953","9,240",713,7.2
LA,U,CN5103300000000,51,33,1990,M04,"9,649","8,960",689,7.1
LA,U,CN5103300000000,51,33,1990,M05,"9,972","9,186",786,7.9
LA,U,CN5103300000000,51,33,1990,M06,"10,071","9,392",679,6.7
LA,U,CN5103300000000,51,33,1990,M07,"10,215","9,670",545,5.3
LA,U,CN5103300000000,51,33,1990,M08,"10,032","9,396",636,6.3
LA,U,CN5103300000000,51,33,1990,M09,"9,668","9,007",661,6.8
LA,U,CN5103300000000,51,33,1990,M10,"9,641","9,006",635,6.6
LA,U,CN5103300000000,51,33,1990,M11,"9,855","8,955",900,9.1
LA,U,CN5103300000000,51,33,1990,M12,"9,837","8,906",931,9.5
LA,U,CN5103300000000,51,33,1990,M13,"9,889","9,158",731,7.4
LA,U,CN5103500000000,51,35,1990,M01,"13,627","12,585","1,042",7.6
LA,U,CN5103500000000,51,35,1990,M02,"13,545","12,637",908,6.7
LA,U,CN5103500000000,51,35,1990,M03,"13,741","12,879",862,6.3
LA,U,CN5103500000000,51,35,1990,M04,"13,376","12,621",755,5.6
LA,U,CN5103500000000,51,35,1990,M05,"13,549","12,826",723,5.3
LA,U,CN5103500000000,51,35,1990,M06,"13,605","12,924",681,5
LA,U,CN5103500000000,51,35,1990,M07,"13,676","12,319","1,357",9.9
LA,U,CN5103500000000,51,35,1990,M08,"13,509","12,230","1,279",9.5
LA,U,CN5103500000000,51,35,1990,M09,"13,479","12,392","1,087",8.1
LA,U,CN5103500000000,51,35,1990,M10,"13,301","12,401",900,6.8
LA,U,CN5103500000000,51,35,1990,M11,"13,640","12,295","1,345",9.9
LA,U,CN5103500000000,51,35,1990,M12,"13,587","12,257","1,330",9.8
LA,U,CN5103500000000,51,35,1990,M13,"13,553","12,531","1,022",7.5
LA,U,CN5103600000000,51,36,1990,M01,"3,385","3,141",244,7.2
LA,U,CN5103600000000,51,36,1990,M02,"3,391","3,167",224,6.6
LA,U,CN5103600000000,51,36,1990,M03,"3,395","3,195",200,5.9
LA,U,CN5103600000000,51,36,1990,M04,"3,394","3,189",205,6
LA,U,CN5103600000000,51,36,1990,M05,"3,382","3,217",165,4.9
LA,U,CN5103600000000,51,36,1990,M06,"3,443","3,255",188,5.5
LA,U,CN5103600000000,51,36,1990,M07,"3,421","3,275",146,4.3
LA,U,CN5103600000000,51,36,1990,M08,"3,422","3,253",169,4.9
LA,U,CN5103600000000,51,36,1990,M09,"3,368","3,195",173,5.1
LA,U,CN5103600000000,51,36,1990,M10,"3,334","3,206",128,3.8
LA,U,CN5103600000000,51,36,1990,M11,"3,353","3,199",154,4.6
LA,U,CN5103600000000,51,36,1990,M12,"3,342","3,202",140,4.2
LA,U,CN5103600000000,51,36,1990,M13,"3,386","3,208",178,5.3
LA,U,CN5103700000000,51,37,1990,M01,"5,642","5,144",498,8.8
LA,U,CN5103700000000,51,37,1990,M02,"5,604","5,120",484,8.6
LA,U,CN5103700000000,51,37,1990,M03,"5,779","5,208",571,9.9
LA,U,CN5103700000000,51,37,1990,M04,"5,805","5,267",538,9.3
LA,U,CN5103700000000,51,37,1990,M05,"5,733","5,288",445,7.8
LA,U,CN5103700000000,51,37,1990,M06,"5,797","5,376",421,7.3
LA,U,CN5103700000000,51,37,1990,M07,"6,604","4,815","1,789",27.1
LA,U,CN5103700000000,51,37,1990,M08,"5,123","4,726",397,7.7
LA,U,CN5103700000000,51,37,1990,M09,"5,446","5,077",369,6.8
LA,U,CN5103700000000,51,37,1990,M10,"5,905","5,193",712,12.1
LA,U,CN5103700000000,51,37,1990,M11,"5,513","5,192",321,5.8
LA,U,CN5103700000000,51,37,1990,M12,"5,488","5,168",320,5.8
LA,U,CN5103700000000,51,37,1990,M13,"5,703","5,131",572,10
LA,U,CN5104100000000,51,41,1990,M01,"116,583","113,144","3,439",2.9
LA,U,CN5104100000000,51,41,1990,M02,"117,557","114,050","3,507",3
LA,U,CN5104100000000,51,41,1990,M03,"118,437","115,101","3,336",2.8
LA,U,CN5104100000000,51,41,1990,M04,"118,204","114,894","3,310",2.8
LA,U,CN5104100000000,51,41,1990,M05,"119,667","115,868","3,799",3.2
LA,U,CN5104100000000,51,41,1990,M06,"121,270","117,222","4,048",3.3
LA,U,CN5104100000000,51,41,1990,M07,"121,541","117,961","3,580",2.9
LA,U,CN5104100000000,51,41,1990,M08,"121,120","117,150","3,970",3.3
LA,U,CN5104100000000,51,41,1990,M09,"119,241","115,070","4,171",3.5
LA,U,CN5104100000000,51,41,1990,M10,"119,051","115,472","3,579",3
LA,U,CN5104100000000,51,41,1990,M11,"119,493","115,186","4,307",3.6
LA,U,CN5104100000000,51,41,1990,M12,"119,353","115,334","4,019",3.4
LA,U,CN5104100000000,51,41,1990,M13,"119,293","115,538","3,755",3.1
LA,U,CN5104300000000,51,43,1990,M01,"6,399","6,104",295,4.6
LA,U,CN5104300000000,51,43,1990,M02,"6,325","6,127",198,3.1
LA,U,CN5104300000000,51,43,1990,M03,"6,356","6,187",169,2.7
LA,U,CN5104300000000,51,43,1990,M04,"6,329","6,164",165,2.6
LA,U,CN5104300000000,51,43,1990,M05,"6,429","6,259",170,2.6
LA,U,CN5104300000000,51,43,1990,M06,"6,521","6,337",184,2.8
LA,U,CN5104300000000,51,43,1990,M07,"6,530","6,406",124,1.9
LA,U,CN5104300000000,51,43,1990,M08,"6,499","6,315",184,2.8
LA,U,CN5104300000000,51,43,1990,M09,"6,321","6,166",155,2.5
LA,U,CN5104300000000,51,43,1990,M10,"6,345","6,192",153,2.4
LA,U,CN5104300000000,51,43,1990,M11,"6,376","6,171",205,3.2
LA,U,CN5104300000000,51,43,1990,M12,"6,441","6,195",246,3.8
LA,U,CN5104300000000,51,43,1990,M13,"6,406","6,219",187,2.9
LA,U,CN5104500000000,51,45,1990,M01,"2,246","2,040",206,9.2
LA,U,CN5104500000000,51,45,1990,M02,"2,251","2,037",214,9.5
LA,U,CN5104500000000,51,45,1990,M03,"2,223","2,081",142,6.4
LA,U,CN5104500000000,51,45,1990,M04,"2,306","2,182",124,5.4
LA,U,CN5104500000000,51,45,1990,M05,"2,261","2,143",118,5.2
LA,U,CN5104500000000,51,45,1990,M06,"2,267","2,153",114,5
LA,U,CN5104500000000,51,45,1990,M07,"2,019","1,889",130,6.4
LA,U,CN5104500000000,51,45,1990,M08,"2,009","1,908",101,5
LA,U,CN5104500000000,51,45,1990,M09,"2,184","2,082",102,4.7
LA,U,CN5104500000000,51,45,1990,M10,"2,157","2,045",112,5.2
LA,U,CN5104500000000,51,45,1990,M11,"2,196","2,075",121,5.5
LA,U,CN5104500000000,51,45,1990,M12,"2,295","2,160",135,5.9
LA,U,CN5104500000000,51,45,1990,M13,"2,201","2,066",135,6.1
LA,U,CN5104700000000,51,47,1990,M01,"14,137","13,504",633,4.5
LA,U,CN5104700000000,51,47,1990,M02,"14,097","13,554",543,3.9
LA,U,CN5104700000000,51,47,1990,M03,"14,182","13,689",493,3.5
LA,U,CN5104700000000,51,47,1990,M04,"14,040","13,638",402,2.9
LA,U,CN5104700000000,51,47,1990,M05,"14,241","13,847",394,2.8
LA,U,CN5104700000000,51,47,1990,M06,"14,390","14,017",373,2.6
LA,U,CN5104700000000,51,47,1990,M07,"14,776","14,171",605,4.1
LA,U,CN5104700000000,51,47,1990,M08,"14,403","13,971",432,3
LA,U,CN5104700000000,51,47,1990,M09,"14,078","13,644",434,3.1
LA,U,CN5104700000000,51,47,1990,M10,"14,184","13,698",486,3.4
LA,U,CN5104700000000,51,47,1990,M11,"14,318","13,651",667,4.7
LA,U,CN5104700000000,51,47,1990,M12,"14,495","13,707",788,5.4
LA,U,CN5104700000000,51,47,1990,M13,"14,279","13,758",521,3.6
LA,U,CN5104900000000,51,49,1990,M01,"3,627","3,481",146,4
LA,U,CN5104900000000,51,49,1990,M02,"3,707","3,572",135,3.6
LA,U,CN5104900000000,51,49,1990,M03,"3,803","3,603",200,5.3
LA,U,CN5104900000000,51,49,1990,M04,"3,832","3,689",143,3.7
LA,U,CN5104900000000,51,49,1990,M05,"3,887","3,713",174,4.5
LA,U,CN5104900000000,51,49,1990,M06,"4,007","3,765",242,6
LA,U,CN5104900000000,51,49,1990,M07,"3,947","3,732",215,5.4
LA,U,CN5104900000000,51,49,1990,M08,"3,885","3,675",210,5.4
LA,U,CN5104900000000,51,49,1990,M09,"3,845","3,698",147,3.8
LA,U,CN5104900000000,51,49,1990,M10,"3,904","3,758",146,3.7
LA,U,CN5104900000000,51,49,1990,M11,"3,909","3,746",163,4.2
LA,U,CN5104900000000,51,49,1990,M12,"3,885","3,711",174,4.5
LA,U,CN5104900000000,51,49,1990,M13,"3,854","3,679",175,4.5
LA,U,CN5105100000000,51,51,1990,M01,"6,491","5,200","1,291",19.9
LA,U,CN5105100000000,51,51,1990,M02,"6,063","5,233",830,13.7
LA,U,CN5105100000000,51,51,1990,M03,"6,252","5,150","1,102",17.6
LA,U,CN5105100000000,51,51,1990,M04,"6,154","5,126","1,028",16.7
LA,U,CN5105100000000,51,51,1990,M05,"6,290","5,172","1,118",17.8
LA,U,CN5105100000000,51,51,1990,M06,"6,404","5,266","1,138",17.8
LA,U,CN5105100000000,51,51,1990,M07,"6,096","5,104",992,16.3
LA,U,CN5105100000000,51,51,1990,M08,"6,203","5,098","1,105",17.8
LA,U,CN5105100000000,51,51,1990,M09,"6,134","5,181",953,15.5
LA,U,CN5105100000000,51,51,1990,M10,"6,030","5,168",862,14.3
LA,U,CN5105100000000,51,51,1990,M11,"6,153","5,128","1,025",16.7
LA,U,CN5105100000000,51,51,1990,M12,"6,192","5,187","1,005",16.2
LA,U,CN5105100000000,51,51,1990,M13,"6,205","5,168","1,037",16.7
LA,U,CN5105300000000,51,53,1990,M01,"10,233","9,736",497,4.9
LA,U,CN5105300000000,51,53,1990,M02,"10,333","9,814",519,5
LA,U,CN5105300000000,51,53,1990,M03,"10,374","9,904",470,4.5
LA,U,CN5105300000000,51,53,1990,M04,"10,369","9,887",482,4.6
LA,U,CN5105300000000,51,53,1990,M05,"10,533","9,971",562,5.3
LA,U,CN5105300000000,51,53,1990,M06,"10,611","10,088",523,4.9
LA,U,CN5105300000000,51,53,1990,M07,"10,674","10,150",524,4.9
LA,U,CN5105300000000,51,53,1990,M08,"10,585","10,081",504,4.8
LA,U,CN5105300000000,51,53,1990,M09,"10,457","9,900",557,5.3
LA,U,CN5105300000000,51,53,1990,M10,"10,425","9,936",489,4.7
LA,U,CN5105300000000,51,53,1990,M11,"10,508","9,911",597,5.7
LA,U,CN5105300000000,51,53,1990,M12,"10,531","9,924",607,5.8
LA,U,CN5105300000000,51,53,1990,M13,"10,470","9,942",528,5
LA,U,CN5105700000000,51,57,1990,M01,"4,273","3,947",326,7.6
LA,U,CN5105700000000,51,57,1990,M02,"4,309","3,972",337,7.8
LA,U,CN5105700000000,51,57,1990,M03,"4,359","4,021",338,7.8
LA,U,CN5105700000000,51,57,1990,M04,"4,378","4,089",289,6.6
LA,U,CN5105700000000,51,57,1990,M05,"4,396","3,953",443,10.1
LA,U,CN5105700000000,51,57,1990,M06,"4,437","4,214",223,5
LA,U,CN5105700000000,51,57,1990,M07,"4,328","4,124",204,4.7
LA,U,CN5105700000000,51,57,1990,M08,"4,327","4,089",238,5.5
LA,U,CN5105700000000,51,57,1990,M09,"4,268","4,048",220,5.2
LA,U,CN5105700000000,51,57,1990,M10,"4,292","4,100",192,4.5
LA,U,CN5105700000000,51,57,1990,M11,"4,513","4,052",461,10.2
